[18:57:42] [INFO] received Windows console close event; shutting log-core down
[19:14:03] [INFO] received Windows console close event; shutting log-core down
[19:21:52] [INFO] received Windows console close event; shutting log-core down
[20:43:53] [INFO] received Windows console close event; shutting log-core down
[20:54:09] [INFO] received Windows console close event; shutting log-core down
[21:18:31] [INFO] received Windows console close event; shutting log-core down
[21:25:21] [INFO] received Windows console close event; shutting log-core down
[21:26:20] [INFO] received Windows console close event; shutting log-core down
[21:27:24] [INFO] received Windows console close event; shutting log-core down
[00:13:35] [INFO] received Windows console close event; shutting log-core down
[00:29:49] [INFO] received Windows console close event; shutting log-core down
[15:53:38] [INFO] received Windows console close event; shutting log-core down
[16:01:10] [INFO] received Windows console close event; shutting log-core down
[18:07:13] [INFO] received Windows console close event; shutting log-core down
[18:12:11] [INFO] received Windows console close event; shutting log-core down
[18:17:09] [INFO] received Windows console close event; shutting log-core down
[18:18:21] [INFO] received Windows console close event; shutting log-core down
[18:21:21] [INFO] received Windows console close event; shutting log-core down
[18:23:41] [INFO] received Windows console close event; shutting log-core down
[18:25:33] [INFO] received Windows console close event; shutting log-core down
[18:27:25] [INFO] received Windows console close event; shutting log-core down
[18:30:01] [INFO] received Windows console close event; shutting log-core down
[18:57:25] [INFO] received Windows console close event; shutting log-core down
[19:01:07] [INFO] received Windows console close event; shutting log-core down
[19:04:07] [INFO] received Windows console close event; shutting log-core down
[19:05:11] [INFO] received Windows console close event; shutting log-core down
[19:10:10] [INFO] received Windows console close event; shutting log-core down
[19:56:53] [INFO] received Windows console close event; shutting log-core down
[20:02:21] [INFO] received Windows console close event; shutting log-core down
[20:23:31] [INFO] received Windows console close event; shutting log-core down
[16:30:07] [INFO] received Windows console close event; shutting log-core down
[16:33:04] [INFO] received Windows console close event; shutting log-core down
[16:33:56] [INFO] received Windows console close event; shutting log-core down
[16:35:29] [INFO] received Windows console close event; shutting log-core down
[16:46:27] [INFO] received Windows console close event; shutting log-core down
[16:48:41] [INFO] received Windows console close event; shutting log-core down
[16:50:29] [INFO] received Windows console close event; shutting log-core down
[16:53:47] [INFO] received Windows console close event; shutting log-core down
[17:12:37] [INFO] received Windows console close event; shutting log-core down
[17:19:08] [INFO] received Windows console close event; shutting log-core down
[17:22:15] [INFO] received Windows console close event; shutting log-core down
[17:23:47] [INFO] received Windows console close event; shutting log-core down
[17:44:19] [INFO] received Windows console close event; shutting log-core down
[17:51:20] [INFO] received Windows console close event; shutting log-core down
[17:55:48] [INFO] received Windows console close event; shutting log-core down
[17:58:10] [INFO] received Windows console close event; shutting log-core down
[18:17:55] [INFO] received Windows console close event; shutting log-core down
[18:20:36] [INFO] received Windows console close event; shutting log-core down
[18:22:04] [INFO] received Windows console close event; shutting log-core down
[18:24:08] [INFO] received Windows console close event; shutting log-core down
[18:28:27] [INFO] received Windows console close event; shutting log-core down
[18:41:54] [INFO] received Windows console close event; shutting log-core down
[18:47:18] [INFO] received Windows console close event; shutting log-core down
[18:47:55] [INFO] received Windows console close event; shutting log-core down
[18:58:04] [INFO] received Windows console close event; shutting log-core down
[19:01:37] [INFO] received Windows console close event; shutting log-core down
[19:05:06] [INFO] received Windows console close event; shutting log-core down
[19:18:03] [INFO] received Windows console close event; shutting log-core down
[19:21:17] [INFO] received Windows console close event; shutting log-core down
[19:24:15] [INFO] received Windows console close event; shutting log-core down
[19:26:29] [INFO] received Windows console close event; shutting log-core down
[19:46:58] [INFO] received Windows console close event; shutting log-core down
[19:48:04] [INFO] received Windows console close event; shutting log-core down
[19:49:06] [INFO] received Windows console close event; shutting log-core down
[19:52:51] [INFO] received Windows console close event; shutting log-core down
[21:07:30] [INFO] received Windows console close event; shutting log-core down
[21:08:30] [INFO] received Windows console close event; shutting log-core down
[21:15:12] [INFO] received Windows console close event; shutting log-core down
[21:17:50] [INFO] received Windows console close event; shutting log-core down
[21:22:50] [INFO] received Windows console close event; shutting log-core down
[21:26:52] [INFO] received Windows console close event; shutting log-core down
[21:40:32] [INFO] received Windows console close event; shutting log-core down
[22:07:47] [INFO] received Windows console close event; shutting log-core down
[18:24:05] [INFO] received Windows console close event; shutting log-core down
[18:27:56] [INFO] received Windows console close event; shutting log-core down
[18:29:35] [INFO] received Windows console close event; shutting log-core down
[18:34:31] [INFO] received Windows console close event; shutting log-core down
[18:36:13] [INFO] received Windows console close event; shutting log-core down
[18:39:50] [INFO] received Windows console close event; shutting log-core down
[18:46:14] [INFO] received Windows console close event; shutting log-core down
[18:49:36] [INFO] received Windows console close event; shutting log-core down
[18:50:59] [INFO] received Windows console close event; shutting log-core down
[18:52:12] [INFO] received Windows console close event; shutting log-core down
[18:57:06] [INFO] received Windows console close event; shutting log-core down
[18:59:22] [INFO] received Windows console close event; shutting log-core down
[19:00:44] [INFO] received Windows console close event; shutting log-core down
[19:08:17] [INFO] received Windows console close event; shutting log-core down
[19:17:58] [INFO] received Windows console close event; shutting log-core down
[19:27:01] [INFO] received Windows console close event; shutting log-core down
[19:28:48] [INFO] received Windows console close event; shutting log-core down
[19:50:10] [INFO] received Windows console close event; shutting log-core down
[19:53:21] [INFO] received Windows console close event; shutting log-core down
[19:54:22] [INFO] received Windows console close event; shutting log-core down
[19:55:33] [INFO] received Windows console close event; shutting log-core down
[19:57:49] [INFO] received Windows console close event; shutting log-core down
[19:59:23] [INFO] received Windows console close event; shutting log-core down
[20:00:17] [INFO] received Windows console close event; shutting log-core down
[20:01:48] [INFO] received Windows console close event; shutting log-core down
[20:03:57] [INFO] received Windows console close event; shutting log-core down
[20:05:10] [INFO] received Windows console close event; shutting log-core down
[20:05:34] [INFO] received Windows console close event; shutting log-core down
[20:06:08] [INFO] received Windows console close event; shutting log-core down
[20:08:01] [INFO] received Windows console close event; shutting log-core down
[20:13:32] [INFO] received Windows console close event; shutting log-core down
[20:15:18] [INFO] received Windows console close event; shutting log-core down
[20:23:50] [INFO] received Windows console close event; shutting log-core down
[20:43:54] [INFO] received Windows console close event; shutting log-core down
[20:44:40] [INFO] received Windows console close event; shutting log-core down
[18:41:40] [INFO] received Windows console close event; shutting log-core down
[19:11:51] [INFO] received Windows console close event; shutting log-core down
[19:12:33] [INFO] received Windows console close event; shutting log-core down
[19:15:58] [INFO] received Windows console close event; shutting log-core down
[19:16:43] [INFO] received Windows console close event; shutting log-core down
[19:17:14] [INFO] received Windows console close event; shutting log-core down
[19:18:17] [INFO] received Windows console close event; shutting log-core down
[19:19:02] [INFO] received Windows console close event; shutting log-core down
[19:19:44] [INFO] received Windows console close event; shutting log-core down
[19:20:10] [INFO] received Windows console close event; shutting log-core down
[19:20:39] [INFO] received Windows console close event; shutting log-core down
[19:24:38] [INFO] received Windows console close event; shutting log-core down
[19:27:47] [INFO] received Windows console close event; shutting log-core down
[19:28:48] [INFO] received Windows console close event; shutting log-core down
[19:36:37] [INFO] received Windows console close event; shutting log-core down
[19:40:35] [INFO] received Windows console close event; shutting log-core down
[19:45:59] [INFO] received Windows console close event; shutting log-core down
[19:48:22] [INFO] received Windows console close event; shutting log-core down
[19:51:58] [INFO] received Windows console close event; shutting log-core down
[19:52:36] [INFO] received Windows console close event; shutting log-core down
[19:53:40] [INFO] received Windows console close event; shutting log-core down
[20:08:20] [INFO] received Windows console close event; shutting log-core down
[20:15:18] [INFO] received Windows console close event; shutting log-core down
[20:26:26] [INFO] received Windows console close event; shutting log-core down
[20:31:34] [INFO] received Windows console close event; shutting log-core down
[21:01:05] [INFO] received Windows console close event; shutting log-core down
[21:07:14] [INFO] received Windows console close event; shutting log-core down
[21:34:33] [INFO] received Windows console close event; shutting log-core down
[21:37:47] [INFO] received Windows console close event; shutting log-core down
[21:43:16] [INFO] received Windows console close event; shutting log-core down
[21:45:28] [INFO] received Windows console close event; shutting log-core down
[21:49:46] [INFO] received Windows console close event; shutting log-core down
[21:54:46] [INFO] received Windows console close event; shutting log-core down
[21:55:39] [INFO] received Windows console close event; shutting log-core down
[12:31:39] [INFO] received Windows console close event; shutting log-core down
[12:32:27] [INFO] received Windows console close event; shutting log-core down
[12:36:49] [INFO] received Windows console close event; shutting log-core down
[12:39:26] [INFO] received Windows console close event; shutting log-core down
[12:40:47] [INFO] received Windows console close event; shutting log-core down
[12:50:07] [INFO] received Windows console close event; shutting log-core down
[13:01:51] [INFO] received Windows console close event; shutting log-core down
[13:03:54] [INFO] received Windows console close event; shutting log-core down
[13:09:55] [INFO] received Windows console close event; shutting log-core down
[13:38:39] [INFO] received Windows console close event; shutting log-core down
[13:44:52] [INFO] received Windows console close event; shutting log-core down
[14:03:54] [INFO] received Windows console close event; shutting log-core down
[14:06:57] [INFO] received Windows console close event; shutting log-core down
[14:11:34] [INFO] received Windows console close event; shutting log-core down
[14:14:19] [INFO] received Windows console close event; shutting log-core down
[14:18:42] [INFO] received Windows console close event; shutting log-core down
[14:21:38] [INFO] received Windows console close event; shutting log-core down
[14:55:48] [INFO] received Windows console close event; shutting log-core down
[15:44:03] [INFO] received Windows console close event; shutting log-core down
[15:57:04] [INFO] received Windows console close event; shutting log-core down
[16:14:09] [INFO] received Windows console close event; shutting log-core down
[16:25:43] [INFO] received Windows console close event; shutting log-core down
[16:33:32] [INFO] received Windows console close event; shutting log-core down
[15:41:33] [INFO] received Windows console close event; shutting log-core down
[15:46:04] [INFO] received Windows console close event; shutting log-core down
[14:17:51] [INFO] received Windows console close event; shutting log-core down
[14:48:17] [INFO] received Windows console close event; shutting log-core down
[15:31:34] [INFO] received Windows console close event; shutting log-core down
[15:37:39] [INFO] received Windows console close event; shutting log-core down
[15:44:02] [INFO] received Windows console close event; shutting log-core down
[15:44:33] [INFO] received Windows console close event; shutting log-core down
[16:09:57] [INFO] received Windows console close event; shutting log-core down
[17:33:13] [INFO] received Windows console close event; shutting log-core down
[17:56:28] [INFO] received Windows console close event; shutting log-core down
[18:12:43] [INFO] received Windows console close event; shutting log-core down
[18:18:35] [INFO] received Windows console close event; shutting log-core down
[18:19:43] [INFO] received Windows console close event; shutting log-core down
[18:22:47] [INFO] received Windows console close event; shutting log-core down
[18:58:35] [INFO] received Windows console close event; shutting log-core down
[21:49:49] [INFO] received Windows console close event; shutting log-core down
[22:00:47] [INFO] received Windows console close event; shutting log-core down
[22:28:51] [INFO] received Windows console close event; shutting log-core down
[23:39:59] [INFO] received Windows console close event; shutting log-core down
[13:23:44] [INFO] received Windows console close event; shutting log-core down
[15:05:35] [INFO] received Windows console close event; shutting log-core down
[15:06:20] [INFO] received Windows console close event; shutting log-core down
[15:21:18] [INFO] received Windows console close event; shutting log-core down
[15:43:12] [INFO] received Windows console close event; shutting log-core down
[15:45:17] [INFO] received Windows console close event; shutting log-core down
[15:53:06] [INFO] received Windows console close event; shutting log-core down
[16:15:27] [INFO] received Windows console close event; shutting log-core down
[17:18:10] [INFO] received Windows console close event; shutting log-core down
[17:25:52] [INFO] received Windows console close event; shutting log-core down
[18:09:14] [INFO] received Windows console close event; shutting log-core down
[18:19:00] [INFO] received Windows console close event; shutting log-core down
[18:21:27] [INFO] received Windows console close event; shutting log-core down
[18:22:21] [INFO] received Windows console close event; shutting log-core down
[18:39:08] [INFO] received Windows console close event; shutting log-core down
